Produtividade (Kg/h),,MAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED. 16,PLATINO,,,,,,,,,,,,,,,,11.652317947008873,,,,,,,,,,,12.650130548302874,
RED. 16,PEROLA,,,,,,,,,,,,,,,,19.635638297872333,,,,,,,,,,,20.116043703277747,
TOP,LISO,,,,,,,,,,,,,26.2,,,,,,,,20.85,,20.922093023255805,,,,20.787647928994105,
ZERINHO,LISO,,,,,,,,,,,,,,,,,,,4.940018169429938,,,,,,,,,
COR 06,LISO,,,,,,,,,,,,,,,,,,,6.097404973236657,,,,,,,,,
COR 150,LISO,,,,,,,,,,,1.8863839285714292,,,2.1565544554455447,,,,,,,,,,,,,,
MAXI,LISO,,,,,,,,,,,,,,8.49456165756936,,,,,,,,,,,,,,
COR 10,LISO,,,,,,,,,,20.830571761960332,,,,,,,,,,,,,,,,,21.38590820943762,27.040510498147373
COR 10,PLATINO,,,,,,,,,,11.48941504178273,,,,,,,,,,,,,,,,,12.799300699300698,20.34864864864865
FAT BALL,LISO,,,,,,,,,,,4.488605983450028,,,4.465298979095768,,,,,,,,,,,,,,
FAT BALL,PLATINO,,,,,,,,,,,3.150797872340425,,,2.1003973509933784,,,,,,,,,,,,,,
GF 10,LISO,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,,18.632687919463066,,,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,,18.632687919463066,,18.632687919463066,,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066,18.632687919463066
